processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,cluster
8060052322,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,2.9,0.0,76.0,7
8053350222,-8.0084388,-34.9562007,A2,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.2,36.0,1
8055802822,-8.0188769,-34.9588999,A2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,7.5,7.0,4
8055798022,-8.0184246,-34.9590279,A2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,7.5,16.0,4
8064746022,-8.1339009,-34.937947,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,55.0,0
8060889022,-8.1133208,-34.9460842,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.0,52.0,0
8069296421,-8.1286189,-34.9512068,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,10.8,0.1,38.0,0
8032444021,-8.004110700000002,-34.9056374,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,7.2,0.2,60.0,6
8031878621,-7.999875899999998,-34.9138415,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.1,69.0,5
8034376121,-8.1252373,-34.9477662,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,8.9,0.3,47.0,0
8071082622,-8.1043223,-34.951049,PV1,20 a 100m,10 a 30º,0 a 60%,Media,49.1,5.0,49.0,4
8070828422,-8.123761199999999,-34.9535707,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,49.1,1.5,66.0,0
8060887822,-8.1133208,-34.9460842,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,2.3,0.0,52.0,0
8053226022,-8.001589,-34.92474929999999,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.2,32.0,3
8070826122,-8.123761199999999,-34.9535707,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,49.1,1.5,66.0,0
8055636022,-8.0087928,-34.9541931,A2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,5.2,36.0,4
8017743021,-7.9951878,-34.9347572,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,1.0,48.0,3
8054199622,-8.0158132,-34.9098508,A2,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.2,42.0,1
8053719622,-7.998693799999999,-34.9324424,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.7,43.0,3
8070981921,-8.123247899999999,-34.9549957,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,7.3,0.5,57.0,0
8055731322,-8.0083443,-34.9563176,A2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,8.0,21.0,4
8032745021,-8.0052311,-34.9088489,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,9.6,1.6,43.0,6
8039974222,-8.000928,-34.9298604,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.4,0.2,35.0,3
8052692722,-8.0185029,-34.9590196,A2,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.5,16.0,1
8063040622,-8.011271,-34.9020066,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,14.2,1.3,57.0,6
8052680922,-8.0119971,-34.9519577,A2,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.5,34.0,1
8021496122,-8.1174233,-34.9517123,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,4.3,0.1,51.0,0
8017596721,-7.9967893,-34.9374423,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,9.6,0.2,59.0,5
8063477522,-8.0147566,-34.9039384,A2,20 a 100m,10 a 30º,0 a 60%,Media,14.2,0.5,47.0,1
8061287422,-8.0128443,-34.8990715,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,26.5,0.3,39.0,6
8061963022,-8.0148384,-34.8963165,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,9.4,0.0,20.0,6
8061203522,-8.0136556,-34.9007111,A2,20 a 100m,10 a 30º,0 a 60%,Media,26.5,0.3,30.0,1
8053921022,-8.0119971,-34.9519577,A2,20 a 100m,10 a 30º,0 a 60%,Media,4.1,0.2,34.0,1
8052712822,-8.019243,-34.958919,A2,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.5,7.0,1
