processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation
8022480321,-8.1216046,-34.9446587,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,1.8,0.3,62.0
8109215021,-8.1139298,-34.9458813,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,5.5,0.1,52.0
8051907022,-8.1075568,-34.9563071,PV1,20 a 100m,10 a 30º,0 a 60%,Media,27.7,0.4,38.0
8040149321,-8.016079,-34.9048813,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,1.4,0.1,34.0
8070950422,-8.009622499999999,-34.9347864,A2,20 a 100m,10 a 30º,0 a 60%,Media,49.1,1.0,37.0
8077827322,-8.115703000000002,-34.959131,PV1,20 a 100m,10 a 30º,0 a 60%,Media,8.0,0.5,35.0
8014028821,-8.0155231,-34.9044184,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.0,0.0,34.0
8075465722,-8.082039800000002,-34.92263020000001,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,23.3,0.7,7.0
8070994122,-7.953198199999999,-34.9505943,LVd1,20 a 100m,10 a 30º,0 a 60%,Baixa,49.1,1.2,105.0
8076742422,-8.1200747,-34.9547292,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,3.7,0.0,85.0
8065280422,-7.9957179,-34.9546986,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,3.0,0.0,61.0
8065296822,-7.9957179,-34.9546986,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,3.0,0.0,61.0
8064621222,-7.996202299999999,-34.9384098,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,0.1,0.0,44.0
8056573222,-8.1100701,-34.9488042,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,35.6,0.0,50.0
8063771022,-7.9932014,-34.933495,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,14.2,0.1,39.0
8065797722,-8.0020981,-34.9605098,A2,20 a 100m,10 a 30º,0 a 60%,Media,4.7,0.0,31.0
8063529522,-7.953198199999999,-34.9505943,LVd1,20 a 100m,10 a 30º,0 a 60%,Baixa,14.2,0.2,105.0
8050863922,-7.9999275,-34.9041297,LVd4,0 a 40m,0 a 5º,0 a 15%,Media,6.7,0.0,12.0
8074848022,-8.1228057,-34.9389146,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,12.4,0.0,41.0
8062989222,-7.9957179,-34.9546986,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,7.4,0.5,61.0
8062497222,-7.9957179,-34.9546986,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,7.4,0.2,61.0
8062136022,-8.0020997,-34.9605925,A2,20 a 100m,10 a 30º,0 a 60%,Alta,0.9,0.0,31.0
8011748822,-8.0025129,-34.9046243,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.0,0.0,60.0
8080175322,-8.0854525,-34.9715294,PV1,20 a 100m,5 a 30º,0 a 60%,Media,0.5,0.2,22.0
8070198022,-7.995050300000001,-34.9332687,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.0,49.0
8017002822,-7.9980897,-34.921421,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.3,0.1,23.0
8011470022,-7.999875899999998,-34.9138415,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.0,69.0
8069886422,-7.953198199999999,-34.9505943,LVd1,20 a 100m,10 a 30º,0 a 60%,Baixa,15.6,0.2,105.0
8014942022,-8.0048126,-34.9089606,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,1.8,0.0,43.0
8067875522,-8.0852675,-34.9696225,PV1,20 a 100m,5 a 30º,0 a 60%,Media,1.2,0.0,59.0
8060215022,-8.0857647,-34.9718377,PV1,20 a 100m,5 a 30º,0 a 60%,Media,2.3,0.2,22.0
8071364122,-8.1216046,-34.9446587,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,49.1,3.5,62.0
8071972122,-8.1230455,-34.9508061,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,1.5,0.2,32.0
8069406222,-7.995179199999999,-34.9385402,LVd4,0 a 40m,0 a 5º,0 a 15%,Baixa,8.1,0.2,38.0
8056240322,-8.0853848,-34.9691972,PV1,20 a 100m,5 a 30º,0 a 60%,Media,83.0,0.2,59.0
8011279822,-8.003656000000001,-34.9053168,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,0.6,0.0,60.0
8057067322,-8.0864522,-34.9685762,PV1,20 a 100m,5 a 30º,0 a 60%,Media,12.7,0.6,51.0
8071773922,-8.110697,-34.9560395,PV1,20 a 100m,10 a 30º,0 a 60%,Media,0.8,0.2,76.0
8056381622,-8.0871076,-34.9675956,PV1,20 a 100m,5 a 30º,0 a 60%,Media,35.6,1.9,51.0
8068237222,-7.953198199999999,-34.9505943,LVd1,20 a 100m,10 a 30º,0 a 60%,Baixa,1.2,0.0,105.0
8040306121,-8.1354531,-34.9545501,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.4,0.1,14.0
8044576122,-8.0864522,-34.9685762,PV1,20 a 100m,5 a 30º,0 a 60%,Media,7.1,0.0,51.0
8071392522,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,49.1,2.8,76.0
8056941122,-8.0854677,-34.9708748,PV1,20 a 100m,5 a 30º,0 a 60%,Media,12.7,0.5,22.0
8043163522,-7.997423,-34.935141,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,7.0,1.1,66.0
8008821022,-8.0022538,-34.9147696,LVd4,20 a 100m,10 a 30º,0 a 60%,Alta,20.1,0.1,25.0
8072953022,-8.122047,-34.9553619,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.0,80.0
8056565022,-7.996798699999998,-34.9375754,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,35.6,0.0,44.0
8056139022,-7.965940599999999,-34.925422,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,83.0,0.4,79.0
8058200922,-8.1249532,-34.9365595,LVd2,20 a 100m,10 a 30º,0 a 60%,Baixa,19.8,0.7,26.0
8044836521,-8.0845193,-34.9714873,PV1,20 a 100m,5 a 30º,0 a 60%,Baixa,0.9,0.0,25.0
8053238822,-7.9919889,-34.93332,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,20.2,0.2,67.0
8053162122,-7.998423099999999,-34.9390241,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,20.2,0.2,42.0
8031241821,-8.084141800000001,-34.970932,PV1,20 a 100m,5 a 30º,0 a 60%,Media,3.8,0.1,25.0
8062017022,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,0.9,0.0,7.0
8009613122,-7.990785300000001,-34.9163922,LVd4,0 a 40m,0 a 5º,0 a 15%,Baixa,3.5,0.1,17.0
8073824022,-8.1208537,-34.9395867,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,0.6,0.0,76.0
8003914121,-8.0845193,-34.9714873,PV1,20 a 100m,5 a 30º,0 a 60%,Baixa,4.5,0.5,25.0
8064469622,-8.020594899999999,-34.9098902,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,16.0
8059527122,-8.0230782,-34.9079298,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,2.9,0.0,33.0
8043190222,-7.994179399999999,-34.9370814,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,7.0,0.4,53.0
8074312222,-8.1092794,-34.9497688,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,15.2,0.7,50.0
8052917922,-8.024551599999999,-34.9036277,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,20.2,0.5,35.0
8020466122,-8.0207984,-34.9079421,URBANO,20 a 100m,10 a 30º,0 a 60%,Alta,2.0,0.0,17.0
8016017122,-8.0224331,-34.9088718,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,3.5,0.0,53.0
8008596622,-8.0224331,-34.9088718,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,4.8,0.0,53.0
8038951021,-8.1230455,-34.9508061,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,3.3,0.2,32.0
8103154921,-8.0230782,-34.9079298,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,1.0,0.2,33.0
8071800622,-8.112590899999999,-34.9568568,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,0.8,0.3,74.0
8057939022,-7.9956686,-34.9358334,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,12.7,0.1,53.0
8048451021,-8.0223553,-34.9104593,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,7.1,0.5,39.0
8058932022,-7.9938461,-34.9328849,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,19.8,0.0,49.0
8069611522,-8.1306507,-34.9522693,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,15.6,0.5,51.0
8098453721,-8.113331,-34.95707,PV1,20 a 100m,10 a 30º,0 a 60%,Baixa,0.2,0.0,74.0
8066364722,-8.1105568,-34.93699350000001,LVd2,0 a 40m,0 a 5º,0 a 15%,Baixa,21.9,0.4,7.0
8070644022,-8.127484299999999,-34.9559487,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,0.6,0.0,25.0
8044414321,-8.1193242,-34.9491953,LVd2,20 a 100m,10 a 30º,0 a 60%,Alta,2.9,0.0,74.0
