processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation
8026200322,-8.0798655,-34.9196274,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,5.0,0.0,8.0
8065695022,-8.0794155,-34.9226093,HP,0 a 20m,0 a 5º,0 a 10%,Baixa,4.7,0.1,7.0
8055877822,-8.025565,-34.9299881,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,83.0,3.5,17.0
8062059522,-8.0278235,-34.9295319,AGUA,0 a 40m,0 a 5º,0 a 15%,Baixa,0.9,0.3,12.0
8071662222,-8.0578592,-34.9045289,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,11.6,2.1,11.0
8045108321,-8.054966499999999,-34.9112046,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,3.6,0.2,9.0
8054834521,-8.0558557,-34.90561599999999,URBANO,0 a 20m,0 a 5º,0 a 10%,Baixa,14.3,0.1,9.0
8053638821,-8.0098991,-34.9304697,A2,20 a 100m,10 a 30º,0 a 60%,Media,3.6,0.1,43.0
8028289321,-8.0053661,-34.9358447,LVd4,20 a 100m,10 a 30º,0 a 60%,Baixa,2.8,0.1,31.0
8079352222,-8.0384017,-34.8800616,URBANO,0 a 40m,0 a 5º,0 a 15%,Baixa,9.2,0.0,4.0
8056227722,-8.0062921,-34.931549,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,83.0,0.5,31.0
8011253922,-8.0153771,-34.9274081,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,0.6,0.0,19.0
8018687422,-8.0160932,-34.9277373,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.1,0.0,19.0
8004903122,-8.0105421,-34.93089,A2,20 a 100m,10 a 30º,0 a 60%,Baixa,11.0,0.3,31.0
8098674321,-8.0087504,-34.9300563,A2,20 a 100m,10 a 30º,0 a 60%,Media,0.2,0.0,43.0
8062767121,-8.015890299999999,-34.9276738,A2,20 a 100m,10 a 30º,0 a 60%,Media,3.3,0.1,19.0
