solicitacao_bairro,processo_ocorrencia,confirmado,latitude,longitude,rain_hour,rain_day,altitude,ground_type,danger_level,flooding_risk,ground_amplitude,filtered_ocorrencia
36,6,1,-8.0017505,-34.9030723,0.0,3.0,25.0,5,2,3,3,1
51,9,0,-8.1102316,-34.9198993,0.0,0.0,7.0,2,1,2,0,0
35,6,1,-8.0151403,-34.9573099,6.0,123.0,17.0,0,2,3,1,1
2,6,1,-8.0185406,-34.8945737,0.8,8.0,17.0,7,1,0,0,1
45,1,0,-8.116954549999999,-34.95209736849097,0.0,0.0,69.0,4,2,3,3,0
87,5,0,-8.0065407,-34.9219718,0.0,0.0,58.0,5,2,3,3,0
41,1,0,-8.0161051,-34.8877488,0.0,0.0,26.0,7,2,3,3,0
50,9,0,-8.1147024,-34.9086311,0.2,0.7,6.0,2,1,0,1,0
55,6,1,-8.1394668,-34.9326745,0.0,1.0,30.0,4,1,3,3,1
87,1,0,-8.0093876,-34.9226357,1.6,32.0,59.0,0,2,3,3,0
64,6,1,-8.0017065,-34.9323707,0.0,0.0,50.0,5,2,3,3,1
64,11,0,-8.004216,-34.9280182,0.0,0.0,63.0,5,0,3,3,0
64,6,1,-8.0050304,-34.9288738,0.0,1.0,63.0,5,1,3,3,1
86,6,1,-8.0360626,-34.9720308,10.8,61.0,51.0,4,1,3,3,1
43,6,1,-7.9967245,-34.9374488,4.2,92.0,59.0,5,2,3,3,1
2,6,1,-8.0124305,-34.8980337,0.0,59.0,43.0,7,2,3,3,1
45,9,0,-8.1251073,-34.9405105,0.0,0.0,41.0,4,2,3,3,0
64,0,0,-7.9972381,-34.9303751,4.0,47.8,41.0,5,2,3,3,0
87,12,0,-8.0165386,-34.9239446,0.0,4.0,50.0,0,2,3,3,0
87,6,1,-8.011774,-34.919054,0.0,56.0,40.0,0,2,3,3,1
17,12,0,-8.0142691,-34.9241833,0.0,0.0,72.0,0,2,3,3,0
