processo_numero,latitude,longitude,ground_type,ground_amplitude,slope_degree,slope_percentage,danger_level,rain_day,rain_hour,elevation,cluster,PROBABILITY
8080432622,-8.0013271,-34.9266988,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.5,0.0,32.0,27,1.0
8075472322,-8.014350799999999,-34.9236326,A2,20 a 100m,10 a 30º,0 a 60%,Media,23.3,0.7,72.0,-1,0.0
8079307722,-8.0059289,-34.9229936,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,6.5,1.0,32.0,27,1.0
8076490522,-7.997706000000001,-34.9336468,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,3.7,0.0,66.0,27,1.0
8072883222,-7.999696999999999,-34.9352836,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.2,53.0,27,1.0
8072754822,-8.0170563,-34.907052,A2,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.2,32.0,38,0.9002859813128323
8072919722,-8.0059289,-34.9229936,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,1.6,0.2,32.0,27,1.0
8066840322,-8.0099758,-34.9040955,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,0.6,0.1,55.0,26,1.0
8032021121,-8.1251111,-34.9398577,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,3.8,0.0,41.0,24,1.0
8065820922,-8.0097506,-34.9048077,URBANO,20 a 100m,10 a 30º,0 a 60%,Alta,4.7,0.2,28.0,6,1.0
8056303522,-8.0077878,-34.93016900000001,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,83.0,1.3,49.0,18,0.9486878954688549
8065951622,-8.0014722,-34.9345141,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,4.7,0.2,71.0,27,1.0
8064536522,-8.0011542,-34.9334142,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,0.1,0.0,71.0,27,1.0
8063445622,-8.0102763,-34.9244128,A2,20 a 100m,10 a 30º,0 a 60%,Media,14.2,1.8,66.0,-1,0.0
8067349122,-8.1325802,-34.9419784,LVd2,20 a 100m,10 a 30º,0 a 60%,Media,0.7,0.2,70.0,24,1.0
8062503222,-8.000928,-34.9298604,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,7.4,0.2,35.0,27,1.0
8068147322,-8.0108929,-34.909932,A2,20 a 100m,10 a 30º,0 a 60%,Alta,1.2,0.0,51.0,5,1.0
8057517922,-8.0097092,-34.9072859,URBANO,20 a 100m,10 a 30º,0 a 60%,Media,12.7,1.0,28.0,26,0.8823950651724451
8061570822,-7.997976400000001,-34.9315676,LVd4,20 a 100m,10 a 30º,0 a 60%,Media,26.5,0.7,43.0,27,1.0
8056271622,-8.0170563,-34.907052,A2,20 a 100m,10 a 30º,0 a 60%,Media,83.0,0.2,32.0,-1,0.0
